,Year,Area,Students,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Proficient,Campus,KB,CT,QL,SL,PS,Date Taken
162,22,1,22.0,21.0,22.0,20.0,19.0,19.0,12.0,18.0,19.0,2.0,21.0,16.666666666666668,17.6,18.0,16.666666666666668,2022.0
163,22,1,30.0,20.0,27.0,16.0,23.0,27.0,15.0,16.0,19.0,2.0,21.0,21.666666666666668,19.4,16.0,21.666666666666668,2022.0
164,22,1,7.0,5.0,7.0,7.0,7.0,6.0,4.0,6.0,6.0,1.0,6.333333333333333,5.666666666666667,6.0,6.0,5.666666666666667,2022.0
166,22,1,19.0,16.0,19.0,15.0,18.0,19.0,12.0,15.0,18.0,3.0,16.666666666666668,16.333333333333332,15.8,15.0,16.333333333333332,2022.0
167,22,1,8.0,7.0,5.0,6.0,7.0,8.0,3.0,4.0,4.0,1.0,6.0,6.0,5.6,4.0,6.0,2022.0
240,21,1,68.0,51.0,64.0,56.0,56.0,63.0,46.0,51.0,50.0,0.0,57.0,55.0,54.4,51.0,55.0,2021.5
241,21,1,42.0,28.0,35.0,30.0,35.0,40.0,25.0,34.0,32.0,0.0,31.0,33.333333333333336,32.8,34.0,33.333333333333336,2021.5
242,21,1,18.0,13.0,18.0,16.0,14.0,14.0,10.0,9.0,12.0,0.0,15.666666666666666,12.666666666666666,12.6,9.0,12.666666666666666,2021.5
243,21,1,22.0,17.0,16.0,18.0,20.0,19.0,4.0,12.0,13.0,0.0,17.0,14.333333333333334,14.6,12.0,14.333333333333334,2021.5
244,21,1,18.0,15.0,15.0,11.0,15.0,16.0,9.0,14.0,14.0,0.0,13.666666666666666,13.333333333333334,13.0,14.0,13.333333333333334,2021.5
245,21,1,14.0,10.0,13.0,7.0,12.0,13.0,4.0,11.0,11.0,1.0,10.0,9.666666666666666,9.4,11.0,9.666666666666666,2021.5
246,21,1,11.0,9.0,11.0,8.0,9.0,11.0,5.0,8.0,8.0,1.0,9.333333333333334,8.333333333333334,8.2,8.0,8.333333333333334,2021.5
247,21,1,8.0,3.0,6.0,8.0,8.0,8.0,6.0,8.0,8.0,1.0,5.666666666666667,7.333333333333333,7.6,8.0,7.333333333333333,2021.5
248,21,1,29.0,24.0,26.0,21.0,20.0,28.0,10.0,17.0,24.0,2.0,23.666666666666668,19.333333333333332,19.2,17.0,19.333333333333332,2021.5
249,21,1,25.0,12.0,22.0,17.0,19.0,22.0,5.0,21.0,14.0,2.0,17.0,15.333333333333334,16.8,21.0,15.333333333333334,2021.5
250,21,1,10.0,3.0,10.0,7.0,8.0,7.0,5.0,8.0,7.0,2.0,6.666666666666667,6.666666666666667,7.0,8.0,6.666666666666667,2021.5
251,21,1,10.0,6.0,9.0,5.0,8.0,9.0,2.0,6.0,4.0,1.0,6.666666666666667,6.333333333333333,6.0,6.0,6.333333333333333,2021.5
252,21,1,11.0,10.0,10.0,9.0,11.0,10.0,6.0,11.0,11.0,1.0,9.666666666666666,9.0,9.4,11.0,9.0,2021.5
305,19,1,40.0,31.0,37.0,23.0,37.0,38.0,22.0,31.0,31.0,0.0,30.333333333333332,32.333333333333336,30.2,31.0,32.333333333333336,2019.5
306,19,1,13.0,8.0,12.0,8.0,11.0,12.0,3.0,8.0,8.0,1.0,9.333333333333334,8.666666666666666,8.4,8.0,8.666666666666666,2019.5
307,19,1,28.0,19.0,26.0,20.0,21.0,23.0,14.0,22.0,20.0,1.0,21.666666666666668,19.333333333333332,20.0,22.0,19.333333333333332,2019.5
308,19,1,26.0,15.0,19.0,19.0,23.0,24.0,5.0,17.0,17.0,1.0,17.666666666666668,17.333333333333332,17.6,17.0,17.333333333333332,2019.5
309,19,1,23.0,19.0,21.0,15.0,20.0,22.0,8.0,21.0,18.0,1.0,18.333333333333332,16.666666666666668,17.2,21.0,16.666666666666668,2019.5
310,19,1,22.0,11.0,18.0,22.0,19.0,21.0,13.0,20.0,20.0,1.0,17.0,17.666666666666668,19.0,20.0,17.666666666666668,2019.5
311,19,1,13.0,8.0,10.0,11.0,9.0,12.0,5.0,10.0,11.0,1.0,9.666666666666666,8.666666666666666,9.4,10.0,8.666666666666666,2019.5
312,19,1,13.0,9.0,13.0,9.0,11.0,13.0,4.0,9.0,9.0,1.0,10.333333333333334,9.333333333333334,9.2,9.0,9.333333333333334,2019.5
313,19,1,29.0,23.0,27.0,21.0,25.0,25.0,16.0,24.0,20.0,2.0,23.666666666666668,22.0,22.2,24.0,22.0,2019.5
314,19,1,23.0,20.0,21.0,17.0,18.0,21.0,13.0,12.0,18.0,2.0,19.333333333333332,17.333333333333332,16.2,12.0,17.333333333333332,2019.5
315,19,1,26.0,22.0,25.0,19.0,23.0,23.0,9.0,21.0,21.0,2.0,22.0,18.333333333333332,19.0,21.0,18.333333333333332,2019.5
316,19,1,15.0,13.0,14.0,11.0,11.0,14.0,4.0,12.0,10.0,2.0,12.666666666666666,9.666666666666666,10.4,12.0,9.666666666666666,2019.5
317,19,1,20.0,11.0,18.0,15.0,13.0,17.0,7.0,13.0,13.0,2.0,14.666666666666666,12.333333333333334,13.0,13.0,12.333333333333334,2019.5
318,19,1,23.0,15.0,21.0,16.0,20.0,21.0,12.0,18.0,17.0,2.0,17.333333333333332,17.666666666666668,17.4,18.0,17.666666666666668,2019.5
319,19,1,13.0,8.0,11.0,9.0,9.0,12.0,6.0,8.0,8.0,2.0,9.333333333333334,9.0,8.8,8.0,9.0,2019.5
320,19,1,13.0,10.0,12.0,12.0,13.0,13.0,7.0,10.0,12.0,2.0,11.333333333333334,11.0,11.0,10.0,11.0,2019.5
321,19,1,12.0,11.0,10.0,9.0,12.0,4.0,6.0,9.0,9.0,1.0,10.0,7.333333333333333,8.0,9.0,7.333333333333333,2019.5
