Term,Year,Code,Area,Students,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Proficient
FA,22,22,3,23,23,19,16,21,17,17,20,20
FA,22,22,3,22,18,21,11,21,13,13,18,15
FA,22,41,3,35,17,32,18,27,25,28,27,24
FA,22,42,3,16,13,13,9,14,10,11,14,11
FA,22,48,3,10,8,10,3,7,4,4,5,3
FA,22,21,3,12,5,12,6,8,7,6,9,6
FA,22,0,4,32,20,29,29,22,8,17,23,20
FA,22,0,4,21,12,12,18,16,13,13,9,8
FA,22,0,4,21,18,10,15,15,10,9,13,10
FA,22,0,4,27,22,12,22,19,13,19,22,17
FA,22,0,4,27,23,8,20,16,11,14,5,7
FA,22,0,4,11,9,6,9,10,4,3,2,4
FA,22,21,4,22,22,5,21,19,13,17,18,19
FA,22,21,4,11,11,6,10,10,7,9,8,8
FA,22,22,4,23,19,14,17,17,14,18,15,15
FA,22,22,4,22,18,12,19,14,10,17,18,11
FA,22,41,4,35,29,31,30,27,24,27,27,28
FA,22,42,4,16,14,8,13,12,7,12,11,10
FA,22,48,4,10,8,3,7,9,5,6,5,4
FA,22,21,4,12,12,5,9,8,6,7,8,5
FA,22,0,5,32,25,31,20,25,19,17,19,18
FA,22,0,5,21,17,13,20,17,15,13,14,15
FA,22,0,5,21,15,14,19,18,12,8,11,12
FA,22,0,5,27,26,15,22,18,20,15,23,20
FA,22,0,5,27,21,18,20,20,14,15,10,14
FA,22,0,5,11,6,5,8,9,3,4,4,3
FA,22,21,5,22,18,7,22,22,18,17,21,20
FA,22,21,5,11,11,11,11,10,9,9,9,10
FA,22,22,5,23,21,13,20,19,18,12,12,14
FA,22,22,5,22,19,14,17,17,12,18,14,16
FA,22,41,5,35,31,20,31,32,28,24,28,35
FA,22,42,5,16,15,13,14,13,9,10,10,11
FA,22,48,5,10,7,5,8,9,5,5,7,4
FA,22,21,5,12,11,8,12,12,9,8,8,9
SP,22,0,1,51,43,48,36,48,51,30,44,42
SP,22,0,1,,,,,,,,,
SP,22,0,1,,,,,,,,,
SP,22,21,1,8,5,6,8,8,8,7,7,7
SP,22,21,1,9,8,8,5,8,6,5,5,5
SP,22,21,1,18,16,17,16,16,15,9,12,15
SP,22,21,1,10,6,9,10,8,10,8,8,9
SP,22,21,1,10,6,10,7,9,9,3,8,7
SP,22,21,1,,,,,,,,,
SP,22,21,1,21,16,19,15,19,20,7,13,16
SP,22,21,1,13,10,13,11,8,13,5,8,9
SP,22,22,1,22,20,21,13,19,18,10,19,18
SP,22,22,1,22,21,22,20,19,19,12,18,19
SP,22,22,1,30,20,27,16,23,27,15,16,19
SP,22,21,1,7,5,7,7,7,6,4,6,6
SP,22,22,1,,,,,,,,,
SP,22,48,1,19,16,19,15,18,19,12,15,18
SP,22,21,1,8,7,5,6,7,8,3,4,4
SP,22,0,2,51,50,37,43,39,15,31,41,38
SP,22,0,2,,,,,,,,,
SP,22,0,2,,,,,,,,,
SP,22,21,2,8,7,6,7,8,2,6,7,6
SP,22,21,2,9,7,6,8,6,2,5,6,4
SP,22,21,2,18,16,12,17,13,6,8,14,10
SP,22,21,2,10,8,5,9,10,4,6,9,6
SP,22,21,2,10,10,7,9,9,6,6,7,8
SP,22,21,2,,,,,,,,,
SP,22,21,2,21,19,14,19,18,11,8,11,10
SP,22,21,2,13,13,8,12,9,7,4,10,9
SP,22,22,2,22,20,17,20,20,11,7,17,14
SP,22,22,2,22,22,15,18,18,14,11,17,15
SP,22,22,2,30,25,19,23,19,14,14,22,17
SP,22,21,2,7,7,4,6,4,3,5,3,3
SP,22,22,2,,,,,,,,,
SP,22,48,2,19,17,13,16,13,8,8,14,9
SP,22,21,2,8,7,3,7,4,3,4,2,2
SP,22,0,3,51,27,44,31,27,27,31,41,27
SP,22,0,3,,,,,,,,,
SP,22,0,3,,,,,,,,,
SP,22,21,3,8,5,8,4,7,5,8,7,6
SP,22,21,3,9,9,9,4,8,6,7,8,7
SP,22,21,3,18,15,16,8,15,12,7,13,12
SP,22,21,3,10,5,10,6,8,6,4,5,4
SP,22,21,3,10,7,9,4,10,6,6,7,7
SP,22,21,3,,,,,,,,,
SP,22,21,3,21,17,16,14,12,13,8,12,12
SP,22,21,3,13,8,9,11,11,8,6,10,7
SP,22,22,3,22,18,18,10,18,19,14,16,16
SP,22,22,3,22,18,22,14,17,16,15,14,16
SP,22,22,3,30,20,26,15,23,23,12,23,17
SP,22,21,3,7,6,7,5,7,4,1,5,4
SP,22,22,3,,,,,,,,,
SP,22,48,3,19,9,18,14,14,6,11,13,9
SP,22,21,3,8,5,8,5,7,8,6,4,6
SP,22,0,4,51,36,46,46,42,43,19,38,32
SP,22,0,4,,,,,,,,,
SP,22,0,4,,,,,,,,,
SP,22,21,4,8,8,3,7,6,8,8,8,8
SP,22,21,4,9,8,8,6,8,4,7,6,7
SP,22,21,4,18,13,13,15,13,10,11,6,7
SP,22,21,4,10,9,4,10,8,7,8,8,8
SP,22,21,4,10,9,6,9,10,7,6,6,7
SP,22,21,4,,,,,,,,,
SP,22,21,4,21,17,9,17,14,10,18,15,9
SP,22,21,4,13,10,2,13,12,4,8,8,6
SP,22,22,4,22,18,7,18,22,12,14,15,11
SP,22,22,4,22,18,10,18,20,15,14,16,14
SP,22,22,4,30,23,16,21,24,14,19,16,15
SP,22,21,4,7,6,3,7,6,6,4,5,5
SP,22,22,4,,,,,,,,,
SP,22,48,4,19,14,18,15,16,9,15,15,13
SP,22,21,4,8,7,5,6,6,2,3,4,4
SP,22,0,5,51,41,33,40,43,38,33,38,35
SP,22,0,5,,,,,,,,,
SP,22,0,5,,,,,,,,,
SP,22,21,5,8,7,4,8,8,8,8,8,8
