Term,Year,Code,Area,Students,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Proficient
SP,23,0,1,31,30,28,14,17,21,15,29,19
SP,23,0,1,,,,,,,,,
SP,23,21,1,20,12,13,8,12,14,9,18,10
SP,23,21,1,11,11,11,6,6,9,7,10,9
SP,23,22,1,16,15,16,8,12,11,9,13,12
SP,23,22,1,14,14,13,10,4,9,9,13,11
SP,23,22,1,20,19,20,17,14,14,17,20,20
SP,23,28,1,4,3,4,2,1,3,2,,2
SP,23,0,2,31,26,23,27,23,22,18,24,23
SP,23,0,2,,,,,,,,,
SP,23,21,2,20,18,9,18,17,14,9,17,15
SP,23,21,2,11,8,9,11,11,11,10,10,11
SP,23,22,2,16,16,13,15,8,11,6,10,11
SP,23,22,2,14,13,11,13,13,8,13,13,13
SP,23,22,2,20,19,15,20,19,17,17,17,19
SP,23,28,2,4,3,1,3,3,33,2,,2
SP,23,0,3,31,24,20,19,29,28,16,14,20
SP,23,0,3,,,,,,,,,
SP,23,21,3,20,14,8,5,10,14,3,12,3
SP,23,21,3,11,8,8,3,8,11,5,8,6
SP,23,22,3,16,11,10,11,12,14,7,14,8
SP,23,22,3,14,12,10,8,11,11,7,8,9
SP,23,22,3,20,19,12,10,17,18,17,17,16
SP,23,28,3,4,2,2,2,2,2,1,2,0
SP,23,0,4,31,23,20,20,28,17,21,24,20
SP,23,0,4,,,,,,,,,
SP,23,21,4,20,13,9,8,18,10,16,8,9
SP,23,21,4,11,11,9,10,11,10,9,9,11
SP,23,22,4,16,13,9,8,16,14,11,11,13
SP,23,22,4,14,11,8,9,13,11,11,12,11
SP,23,22,4,20,16,14,14,19,19,16,18,18
SP,23,28,4,4,4,2,3,4,2,2,1,3
SP,23,0,5,31,28,19,15,23,13,23,13,14
SP,23,0,5,,,,,,,,,
SP,23,21,5,20,14,9,16,16,14,15,4,9
SP,23,21,5,11,10,9,8,10,8,10,6,9
SP,23,22,5,16,14,13,7,14,6,7,8,7
SP,23,22,5,14,11,9,6,13,10,5,10,5
SP,23,22,5,20,18,16,11,20,14,12,18,16
SP,23,28,5,4,3,3,0,2,0,0,0,0
FA,22,0,1,28,26,27,16,12,17,16,23,19
FA,22,0,1,7,5,5,3,3,5,4,6,4
FA,22,0,1,18,18,16,11,10,10,7,17,9
FA,22,41,1,18,16,18,11,12,17,11,18,16
FA,22,41,1,2,2,2,1,1,1,2,2,1
FA,22,42,1,10,9,10,9,9,6,4,9,7
FA,22,42,1,10,8,10,7,7,8,6,10,9
FA,22,42,1,9,9,8,8,7,8,7,9,9
FA,22,42,1,9,9,9,8,7,8,5,8,9
FA,22,0,2,28,26,25,23,21,18,11,25,20
FA,22,0,2,7,5,4,6,6,4,3,5,4
FA,22,0,2,18,16,13,13,7,10,5,11,9
FA,22,41,2,18,17,17,16,15,14,11,14,16
FA,22,41,2,2,1,2,2,2,1,1,2,2
FA,22,42,2,10,10,7,10,7,6,8,6,8
FA,22,42,2,10,10,9,10,9,7,7,8,10
FA,22,42,2,9,8,6,9,4,9,8,7,9
FA,22,42,2,9,8,7,8,6,8,6,5,7
FA,22,0,3,28,21,19,15,22,20,10,17,16
FA,22,0,3,7,6,2,1,5,7,2,5,2
FA,22,0,3,18,12,6,13,16,14,7,10,7
FA,22,41,3,18,16,15,10,17,16,7,12,13
FA,22,41,3,2,1,2,1,2,2,1,1,1
FA,22,42,3,10,8,9,3,8,8,5,6,6
FA,22,42,3,10,6,6,7,7,9,5,6,6
