,Year,Area,Students,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Proficient,Campus,KB,CT,QL,SL,PS,Date Taken
245,18,1,20.0,15.0,18.0,12.0,9.0,13.0,6.0,18.0,9.0,0.0,16.5,10.0,9.5,18.0,12.333333333333334,2018.5
246,18,1,37.0,33.0,34.0,20.0,20.0,13.0,15.0,29.0,17.0,1.0,33.5,17.0,14.0,29.0,19.0,2018.5
247,18,1,18.0,15.0,10.0,12.0,9.0,2.0,7.0,18.0,8.0,1.0,12.5,7.5,4.5,18.0,9.0,2018.5
248,18,1,21.0,17.0,20.0,3.0,17.0,8.0,12.0,20.0,10.0,2.0,18.5,10.0,10.0,20.0,13.333333333333334,2018.5
249,18,1,16.0,11.0,13.0,9.0,10.0,2.0,6.0,12.0,9.0,2.0,12.0,6.75,4.0,12.0,6.666666666666667,2018.5
250,18,1,12.0,9.0,9.0,9.0,7.0,4.0,5.0,12.0,6.0,3.0,9.0,6.25,4.5,12.0,7.0,2018.5
8,23,2,31.0,26.0,23.0,27.0,23.0,22.0,18.0,24.0,23.0,0.0,24.5,22.5,21.333333333333332,23.5,21.0,2023.0
10,23,2,20.0,18.0,9.0,18.0,17.0,14.0,9.0,17.0,15.0,1.0,13.5,14.5,13.333333333333334,17.0,13.333333333333334,2023.0
11,23,2,11.0,8.0,9.0,11.0,11.0,11.0,10.0,10.0,11.0,1.0,8.5,10.75,10.333333333333334,10.5,10.666666666666666,2023.0
12,23,2,16.0,16.0,13.0,15.0,8.0,11.0,6.0,10.0,11.0,2.0,14.5,10.0,9.0,9.0,8.333333333333334,2023.0
13,23,2,14.0,13.0,11.0,13.0,13.0,8.0,13.0,13.0,13.0,2.0,12.0,11.75,11.333333333333334,13.0,11.333333333333334,2023.0
14,23,2,20.0,19.0,15.0,20.0,19.0,17.0,17.0,17.0,19.0,2.0,17.0,18.25,17.0,18.0,17.666666666666668,2023.0
49,22,2,28.0,26.0,25.0,23.0,21.0,18.0,11.0,25.0,20.0,0.0,25.5,18.25,18.0,23.0,16.666666666666668,2022.5
50,22,2,7.0,5.0,4.0,6.0,6.0,4.0,3.0,5.0,4.0,0.0,4.5,4.75,4.0,5.5,4.333333333333333,2022.5
51,22,2,18.0,16.0,13.0,13.0,7.0,10.0,5.0,11.0,9.0,0.0,14.5,8.75,8.666666666666666,9.0,7.333333333333333,2022.5
52,22,2,18.0,17.0,17.0,16.0,15.0,14.0,11.0,14.0,16.0,1.0,17.0,14.0,13.0,14.5,13.333333333333334,2022.5
53,22,2,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.5,1.5,1.3333333333333333,2.0,1.3333333333333333,2022.5
54,22,2,10.0,10.0,7.0,10.0,7.0,6.0,8.0,6.0,8.0,2.0,8.5,7.75,6.666666666666667,6.5,7.0,2022.5
55,22,2,10.0,10.0,9.0,10.0,9.0,7.0,7.0,8.0,10.0,2.0,9.5,8.25,7.333333333333333,8.5,7.666666666666667,2022.5
56,22,2,9.0,8.0,6.0,9.0,4.0,9.0,8.0,7.0,9.0,2.0,7.0,7.5,8.0,5.5,7.0,2022.5
57,22,2,9.0,8.0,7.0,8.0,6.0,8.0,6.0,5.0,7.0,2.0,7.5,7.0,6.333333333333333,5.5,6.666666666666667,2022.5
95,22,2,54.0,48.0,45.0,48.0,38.0,37.0,23.0,50.0,41.0,0.0,46.5,36.5,36.666666666666664,44.0,32.666666666666664,2022.0
96,22,2,11.0,9.0,8.0,10.0,6.0,11.0,9.0,10.0,10.0,0.0,8.5,9.0,10.0,8.0,8.666666666666666,2022.0
97,22,2,16.0,15.0,11.0,14.0,14.0,14.0,8.0,14.0,13.0,1.0,13.0,12.5,12.0,14.0,12.0,2022.0
98,22,2,5.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,1.0,4.5,4.0,4.0,4.5,3.6666666666666665,2022.0
99,22,2,8.0,7.0,3.0,7.0,7.0,6.0,4.0,8.0,6.0,1.0,5.0,6.0,6.0,7.5,5.666666666666667,2022.0
101,22,2,12.0,11.0,8.0,12.0,6.0,8.0,4.0,11.0,8.0,2.0,9.5,7.5,7.666666666666667,8.5,6.0,2022.0
102,22,2,21.0,20.0,15.0,19.0,16.0,14.0,17.0,14.0,15.0,2.0,17.5,16.5,15.0,15.0,15.666666666666666,2022.0
103,22,2,12.0,12.0,9.0,12.0,12.0,9.0,9.0,10.0,12.0,2.0,10.5,10.5,9.333333333333334,11.0,10.0,2022.0
104,22,2,7.0,7.0,6.0,6.0,7.0,6.0,5.0,4.0,7.0,2.0,6.5,6.0,5.0,5.5,6.0,2022.0
143,21,2,62.0,59.0,49.0,48.0,37.0,38.0,32.0,49.0,43.0,0.0,54.0,38.75,39.666666666666664,43.0,35.666666666666664,2021.5
144,21,2,18.0,17.0,8.0,3.0,11.0,9.0,10.0,12.0,6.0,0.0,12.5,8.25,10.333333333333334,11.5,10.0,2021.5
146,21,2,19.0,15.0,8.0,13.0,9.0,13.0,6.0,8.0,8.0,1.0,11.5,10.25,9.0,8.5,9.333333333333334,2021.5
147,21,2,11.0,9.0,5.0,10.0,8.0,7.0,4.0,7.0,7.0,2.0,7.0,7.25,6.0,7.5,6.333333333333333,2021.5
148,21,2,6.0,6.0,5.0,6.0,3.0,4.0,4.0,4.0,6.0,2.0,5.5,4.25,4.0,3.5,3.6666666666666665,2021.5
149,21,2,8.0,8.0,5.0,7.0,5.0,5.0,7.0,8.0,5.0,2.0,6.5,6.0,6.666666666666667,6.5,5.666666666666667,2021.5
150,21,2,12.0,12.0,8.0,11.0,10.0,11.0,9.0,9.0,11.0,2.0,10.0,10.25,9.666666666666666,9.5,10.0,2021.5
181,19,2,24.0,22.0,13.0,13.0,15.0,15.0,11.0,17.0,11.0,0.0,17.5,13.5,14.333333333333334,16.0,13.666666666666666,2019.5
182,19,2,30.0,25.0,20.0,27.0,28.0,20.0,15.0,28.0,23.0,1.0,22.5,22.5,21.0,28.0,21.0,2019.5
183,19,2,11.0,9.0,6.0,10.0,7.0,7.0,9.0,9.0,7.0,1.0,7.5,8.25,8.333333333333334,8.0,7.666666666666667,2019.5
184,19,2,27.0,23.0,12.0,22.0,15.0,19.0,13.0,17.0,15.0,2.0,17.5,17.25,16.333333333333332,16.0,15.666666666666666,2019.5
185,19,2,13.0,12.0,5.0,6.0,6.0,8.0,5.0,6.0,2.0,2.0,8.5,6.25,6.333333333333333,6.0,6.333333333333333,2019.5
186,19,2,9.0,9.0,8.0,7.0,8.0,5.0,5.0,6.0,7.0,3.0,8.5,6.25,5.333333333333333,7.0,6.0,2019.5
213,19,2,29.0,28.0,20.0,22.0,21.0,14.0,17.0,24.0,20.0,0.0,24.0,18.5,18.333333333333332,22.5,17.333333333333332,2019.0
214,19,2,17.0,14.0,8.0,14.0,11.0,16.0,10.0,10.0,12.0,2.0,11.0,12.75,12.0,10.5,12.333333333333334,2019.0
215,19,2,31.0,28.0,23.0,29.0,20.0,21.0,18.0,25.0,22.0,1.0,25.5,22.0,21.333333333333332,22.5,19.666666666666668,2019.0
216,19,2,27.0,19.0,13.0,24.0,23.0,19.0,17.0,23.0,21.0,1.0,16.0,20.75,19.666666666666668,23.0,19.666666666666668,2019.0
217,19,2,20.0,19.0,16.0,19.0,17.0,13.0,16.0,17.0,16.0,2.0,17.5,16.25,15.333333333333334,17.0,15.333333333333334,2019.0
218,19,2,8.0,8.0,6.0,2.0,5.0,6.0,5.0,8.0,6.0,1.0,7.0,4.5,6.333333333333333,6.5,5.333333333333333,2019.0
219,19,2,12.0,12.0,9.0,6.0,9.0,10.0,8.0,9.0,8.0,1.0,10.5,8.25,9.0,9.0,9.0,2019.0
220,19,2,10.0,8.0,6.0,7.0,7.0,6.0,6.0,4.0,6.0,2.0,7.0,6.5,5.333333333333333,5.5,6.333333333333333,2019.0
251,18,2,20.0,18.0,13.0,18.0,14.0,15.0,13.0,15.0,13.0,0.0,15.5,15.0,14.333333333333334,14.5,14.0,2018.5
252,18,2,37.0,34.0,27.0,35.0,27.0,27.0,23.0,31.0,29.0,1.0,30.5,28.0,27.0,29.0,25.666666666666668,2018.5
253,18,2,18.0,16.0,7.0,13.0,14.0,12.0,15.0,16.0,13.0,1.0,11.5,13.5,14.333333333333334,15.0,13.666666666666666,2018.5
254,18,2,21.0,16.0,4.0,20.0,16.0,4.0,16.0,12.0,14.0,2.0,10.0,14.0,10.666666666666666,14.0,12.0,2018.5
255,18,2,16.0,14.0,10.0,11.0,12.0,4.0,5.0,6.0,9.0,2.0,12.0,8.0,5.0,9.0,7.0,2018.5
256,18,2,12.0,11.0,4.0,10.0,8.0,6.0,5.0,9.0,8.0,3.0,7.5,7.25,6.666666666666667,8.5,6.333333333333333,2018.5
16,23,3,31.0,24.0,20.0,19.0,29.0,28.0,16.0,14.0,20.0,0.0,22.0,23.0,22.5,14.0,24.333333333333332,2023.0
18,23,3,20.0,14.0,8.0,5.0,10.0,14.0,3.0,12.0,3.0,1.0,11.0,8.0,6.5,12.0,9.0,2023.0
19,23,3,11.0,8.0,8.0,3.0,8.0,11.0,5.0,8.0,6.0,1.0,8.0,6.75,6.5,8.0,8.0,2023.0
20,23,3,16.0,11.0,10.0,11.0,12.0,14.0,7.0,14.0,8.0,2.0,10.5,11.0,9.5,14.0,11.0,2023.0
21,23,3,14.0,12.0,10.0,8.0,11.0,11.0,7.0,8.0,9.0,2.0,11.0,9.25,9.0,8.0,9.666666666666666,2023.0
22,23,3,20.0,19.0,12.0,10.0,17.0,18.0,17.0,17.0,16.0,2.0,15.5,15.5,17.0,17.0,17.333333333333332,2023.0
23,23,3,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,3.0,2.0,1.75,1.5,2.0,1.6666666666666667,2023.0
58,22,3,28.0,21.0,19.0,15.0,22.0,20.0,10.0,17.0,16.0,0.0,20.0,16.75,16.0,17.0,17.333333333333332,2022.5
59,22,3,7.0,6.0,2.0,1.0,5.0,7.0,2.0,5.0,2.0,0.0,4.0,3.75,3.5,5.0,4.666666666666667,2022.5
60,22,3,18.0,12.0,6.0,13.0,16.0,14.0,7.0,10.0,7.0,0.0,9.0,12.5,11.5,10.0,12.333333333333334,2022.5
61,22,3,18.0,16.0,15.0,10.0,17.0,16.0,7.0,12.0,13.0,1.0,15.5,12.5,12.0,12.0,13.333333333333334,2022.5
62,22,3,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.0,1.6666666666666667,2022.5
63,22,3,10.0,8.0,9.0,3.0,8.0,8.0,5.0,6.0,6.0,2.0,8.5,6.0,6.5,6.0,7.0,2022.5
64,22,3,10.0,6.0,6.0,7.0,7.0,9.0,5.0,6.0,6.0,2.0,6.0,7.0,6.0,6.0,7.0,2022.5
65,22,3,9.0,9.0,8.0,5.0,8.0,7.0,2.0,7.0,6.0,2.0,8.5,5.5,5.0,7.0,5.666666666666667,2022.5
66,22,3,9.0,7.0,6.0,5.0,5.0,8.0,4.0,9.0,6.0,2.0,6.5,5.5,4.5,9.0,5.666666666666667,2022.5
105,22,3,54.0,45.0,34.0,34.0,44.0,39.0,19.0,35.0,30.0,0.0,39.5,34.0,31.5,35.0,34.0,2022.0
106,22,3,11.0,11.0,9.0,7.0,9.0,10.0,6.0,10.0,8.0,0.0,10.0,8.0,7.5,10.0,8.333333333333334,2022.0
107,22,3,16.0,10.0,10.0,8.0,11.0,13.0,5.0,6.0,6.0,1.0,10.0,9.25,8.0,6.0,9.666666666666666,2022.0
108,22,3,5.0,4.0,4.0,4.0,3.0,5.0,1.0,3.0,3.0,1.0,4.0,3.25,2.0,3.0,3.0,2022.0
109,22,3,8.0,6.0,3.0,2.0,2.0,6.0,2.0,5.0,2.0,1.0,4.5,3.0,2.0,5.0,3.3333333333333335,2022.0
111,22,3,12.0,10.0,6.0,6.0,8.0,10.0,6.0,9.0,6.0,2.0,8.0,7.5,7.0,9.0,8.0,2022.0
112,22,3,21.0,18.0,10.0,12.0,15.0,19.0,12.0,17.0,14.0,2.0,14.0,14.5,13.5,17.0,15.333333333333334,2022.0
113,22,3,12.0,9.0,8.0,7.0,11.0,12.0,5.0,8.0,6.0,2.0,8.5,8.75,8.0,8.0,9.333333333333334,2022.0
114,22,3,7.0,7.0,2.0,6.0,3.0,7.0,2.0,5.0,4.0,2.0,4.5,4.5,2.5,5.0,4.0,2022.0
151,21,3,62.0,47.0,32.0,40.0,53.0,49.0,20.0,36.0,31.0,0.0,39.5,40.5,36.5,36.0,40.666666666666664,2021.5
152,21,3,18.0,8.0,4.0,11.0,6.0,3.0,6.0,12.0,3.0,0.0,6.0,6.5,6.0,12.0,5.0,2021.5
154,21,3,19.0,12.0,8.0,7.0,9.0,11.0,9.0,5.0,2.0,1.0,10.0,9.0,9.0,5.0,9.666666666666666,2021.5
155,21,3,11.0,7.0,4.0,9.0,8.0,9.0,5.0,6.0,6.0,2.0,5.5,7.75,6.5,6.0,7.333333333333333,2021.5
156,21,3,6.0,4.0,3.0,4.0,6.0,4.0,3.0,3.0,2.0,2.0,3.5,4.25,4.5,3.0,4.333333333333333,2021.5
157,21,3,8.0,7.0,4.0,6.0,5.0,8.0,2.0,7.0,6.0,2.0,5.5,5.25,3.5,7.0,5.0,2021.5
158,21,3,12.0,10.0,6.0,5.0,7.0,10.0,6.0,10.0,6.0,2.0,8.0,7.0,6.5,10.0,7.666666666666667,2021.5
187,19,3,24.0,20.0,4.0,14.0,20.0,17.0,7.0,13.0,10.0,0.0,12.0,14.5,13.5,13.0,14.666666666666666,2019.5
188,19,3,30.0,24.0,13.0,10.0,21.0,22.0,11.0,14.0,10.0,1.0,18.5,16.0,16.0,14.0,18.0,2019.5
189,19,3,11.0,8.0,6.0,5.0,4.0,6.0,4.0,8.0,5.0,1.0,7.0,4.75,4.0,8.0,4.666666666666667,2019.5
190,19,3,27.0,23.0,13.0,10.0,16.0,22.0,18.0,15.0,17.0,2.0,18.0,16.5,17.0,15.0,18.666666666666668,2019.5
191,19,3,13.0,11.0,1.0,3.0,4.0,11.0,4.0,7.0,1.0,2.0,6.0,5.5,4.0,7.0,6.333333333333333,2019.5
192,19,3,9.0,7.0,4.0,6.0,9.0,8.0,5.0,8.0,7.0,3.0,5.5,7.0,7.0,8.0,7.333333333333333,2019.5
221,19,3,29.0,25.0,14.0,17.0,24.0,19.0,16.0,15.0,16.0,0.0,19.5,19.0,20.0,15.0,19.666666666666668,2019.0
222,19,3,17.0,13.0,11.0,7.0,13.0,16.0,10.0,11.0,10.0,2.0,12.0,11.5,11.5,11.0,13.0,2019.0
223,19,3,31.0,24.0,17.0,19.0,24.0,27.0,12.0,16.0,18.0,1.0,20.5,20.5,18.0,16.0,21.0,2019.0
224,19,3,27.0,23.0,10.0,4.0,16.0,21.0,8.0,14.0,9.0,1.0,16.5,12.25,12.0,14.0,15.0,2019.0
225,19,3,20.0,16.0,15.0,13.0,14.0,17.0,11.0,13.0,12.0,2.0,15.5,13.75,12.5,13.0,14.0,2019.0
226,19,3,8.0,5.0,3.0,5.0,4.0,6.0,2.0,4.0,2.0,1.0,4.0,4.25,3.0,4.0,4.0,2019.0
227,19,3,12.0,10.0,8.0,6.0,8.0,11.0,6.0,10.0,8.0,1.0,9.0,7.75,7.0,10.0,8.333333333333334,2019.0
228,19,3,10.0,10.0,6.0,4.0,3.0,6.0,0.0,5.0,5.0,2.0,8.0,3.25,1.5,5.0,3.0,2019.0
257,18,3,20.0,17.0,8.0,13.0,18.0,19.0,11.0,11.0,12.0,0.0,12.5,15.25,14.5,11.0,16.0,2018.5
258,18,3,37.0,22.0,18.0,16.0,32.0,34.0,13.0,19.0,16.0,1.0,20.0,23.75,22.5,19.0,26.333333333333332,2018.5
259,18,3,18.0,14.0,4.0,3.0,5.0,15.0,4.0,6.0,2.0,1.0,9.0,6.75,4.5,6.0,8.0,2018.5
260,18,3,21.0,14.0,13.0,3.0,9.0,11.0,17.0,7.0,9.0,2.0,13.5,10.0,13.0,7.0,12.333333333333334,2018.5
261,18,3,16.0,13.0,5.0,5.0,7.0,12.0,6.0,10.0,8.0,2.0,9.0,7.5,6.5,10.0,8.333333333333334,2018.5
262,18,3,12.0,7.0,6.0,5.0,8.0,10.0,3.0,10.0,6.0,3.0,6.5,6.5,5.5,10.0,7.0,2018.5
24,23,4,31.0,23.0,20.0,20.0,28.0,17.0,21.0,24.0,20.0,0.0,21.5,21.5,19.0,24.0,22.0,2023.0
26,23,4,20.0,13.0,9.0,8.0,18.0,10.0,16.0,8.0,9.0,1.0,11.0,13.0,13.0,8.0,14.666666666666666,2023.0
27,23,4,11.0,11.0,9.0,10.0,11.0,10.0,9.0,9.0,11.0,1.0,10.0,10.0,9.5,9.0,10.0,2023.0
28,23,4,16.0,13.0,9.0,8.0,16.0,14.0,11.0,11.0,13.0,2.0,11.0,12.25,12.5,11.0,13.666666666666666,2023.0
29,23,4,14.0,11.0,8.0,9.0,13.0,11.0,11.0,12.0,11.0,2.0,9.5,11.0,11.0,12.0,11.666666666666666,2023.0
30,23,4,20.0,16.0,14.0,14.0,19.0,19.0,16.0,18.0,18.0,2.0,15.0,17.0,17.5,18.0,18.0,2023.0
31,23,4,4.0,4.0,2.0,3.0,4.0,2.0,2.0,1.0,3.0,3.0,3.0,2.75,2.0,1.0,2.6666666666666665,2023.0
67,22,4,28.0,18.0,16.0,12.0,22.0,18.0,18.0,19.0,13.0,0.0,17.0,17.5,18.0,19.0,19.333333333333332,2022.5
68,22,4,7.0,4.0,4.0,3.0,6.0,4.0,3.0,5.0,3.0,0.0,4.0,4.0,3.5,5.0,4.333333333333333,2022.5
69,22,4,18.0,9.0,13.0,8.0,17.0,9.0,15.0,13.0,10.0,0.0,11.0,12.25,12.0,13.0,13.666666666666666,2022.5
70,22,4,18.0,16.0,14.0,15.0,16.0,11.0,13.0,12.0,13.0,1.0,15.0,13.75,12.0,12.0,13.333333333333334,2022.5
71,22,4,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.5,1.5,1.5,2.0,1.6666666666666667,2022.5
72,22,4,10.0,7.0,5.0,8.0,10.0,7.0,6.0,9.0,8.0,2.0,6.0,7.75,6.5,9.0,7.666666666666667,2022.5
73,22,4,10.0,7.0,6.0,7.0,8.0,7.0,7.0,8.0,6.0,2.0,6.5,7.25,7.0,8.0,7.333333333333333,2022.5
74,22,4,9.0,8.0,6.0,5.0,7.0,6.0,7.0,8.0,6.0,2.0,7.0,6.25,6.5,8.0,6.666666666666667,2022.5
75,22,4,9.0,6.0,6.0,4.0,9.0,9.0,6.0,6.0,5.0,2.0,6.0,7.0,7.5,6.0,8.0,2022.5
115,22,4,54.0,37.0,38.0,32.0,49.0,33.0,31.0,39.0,35.0,0.0,37.5,36.25,32.0,39.0,37.666666666666664,2022.0
116,22,4,11.0,10.0,9.0,7.0,11.0,8.0,9.0,9.0,9.0,0.0,9.5,8.75,8.5,9.0,9.333333333333334,2022.0
117,22,4,16.0,12.0,13.0,8.0,15.0,6.0,10.0,11.0,10.0,1.0,12.5,9.75,8.0,11.0,10.333333333333334,2022.0
118,22,4,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,1.0,4.5,4.75,5.0,4.0,4.666666666666667,2022.0
119,22,4,8.0,6.0,4.0,2.0,8.0,7.0,6.0,5.0,4.0,1.0,5.0,5.75,6.5,5.0,7.0,2022.0
121,22,4,12.0,9.0,10.0,6.0,12.0,7.0,7.0,8.0,7.0,2.0,9.5,8.0,7.0,8.0,8.666666666666666,2022.0
122,22,4,21.0,16.0,14.0,15.0,21.0,19.0,19.0,19.0,17.0,2.0,15.0,18.5,19.0,19.0,19.666666666666668,2022.0
123,22,4,12.0,11.0,8.0,9.0,12.0,11.0,11.0,10.0,11.0,2.0,9.5,10.75,11.0,10.0,11.333333333333334,2022.0
124,22,4,7.0,7.0,7.0,6.0,7.0,5.0,7.0,5.0,7.0,2.0,7.0,6.25,6.0,5.0,6.333333333333333,2022.0
159,21,4,62.0,38.0,40.0,31.0,54.0,31.0,38.0,40.0,31.0,0.0,39.0,38.5,34.5,40.0,41.0,2021.5
160,21,4,18.0,12.0,10.0,7.0,14.0,9.0,9.0,13.0,8.0,0.0,11.0,9.75,9.0,13.0,10.666666666666666,2021.5
162,21,4,19.0,11.0,10.0,11.0,14.0,11.0,16.0,12.0,9.0,1.0,10.5,13.0,13.5,12.0,13.666666666666666,2021.5
163,21,4,11.0,10.0,6.0,6.0,10.0,10.0,7.0,8.0,7.0,2.0,8.0,8.25,8.5,8.0,9.0,2021.5
164,21,4,6.0,6.0,4.0,4.0,6.0,3.0,5.0,6.0,5.0,2.0,5.0,4.5,4.0,6.0,4.666666666666667,2021.5
165,21,4,8.0,7.0,7.0,7.0,8.0,7.0,8.0,7.0,8.0,2.0,7.0,7.5,7.5,7.0,7.666666666666667,2021.5
166,21,4,12.0,9.0,5.0,9.0,10.0,10.0,11.0,10.0,9.0,2.0,7.0,10.0,10.5,10.0,10.333333333333334,2021.5
