,Year,Area,Students,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Proficient,Campus,KB,CT,QL,SL,PS,Date Taken
0,23,1,31.0,30.0,28.0,14.0,17.0,21.0,15.0,29.0,19.0,0.0,29.0,16.75,18.0,29.0,21.666666666666668,2023.0
2,23,1,20.0,12.0,13.0,8.0,12.0,14.0,9.0,18.0,10.0,1.0,12.5,10.75,11.5,18.0,13.666666666666666,2023.0
3,23,1,11.0,11.0,11.0,6.0,6.0,9.0,7.0,10.0,9.0,1.0,11.0,7.0,8.0,10.0,8.666666666666666,2023.0
4,23,1,16.0,15.0,16.0,8.0,12.0,11.0,9.0,13.0,12.0,2.0,15.5,10.0,10.0,13.0,11.0,2023.0
5,23,1,14.0,14.0,13.0,10.0,4.0,9.0,9.0,13.0,11.0,2.0,13.5,8.0,9.0,13.0,10.333333333333334,2023.0
6,23,1,20.0,19.0,20.0,17.0,14.0,14.0,17.0,20.0,20.0,2.0,19.5,15.5,15.5,20.0,17.0,2023.0
40,22,1,28.0,26.0,27.0,16.0,12.0,17.0,16.0,23.0,19.0,0.0,26.5,15.25,16.5,23.0,18.666666666666668,2022.5
41,22,1,7.0,5.0,5.0,3.0,3.0,5.0,4.0,6.0,4.0,0.0,5.0,3.75,4.5,6.0,5.0,2022.5
42,22,1,18.0,18.0,16.0,11.0,10.0,10.0,7.0,17.0,9.0,0.0,17.0,9.5,8.5,17.0,11.333333333333334,2022.5
43,22,1,18.0,16.0,18.0,11.0,12.0,17.0,11.0,18.0,16.0,1.0,17.0,12.75,14.0,18.0,15.333333333333334,2022.5
44,22,1,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.25,1.5,2.0,1.6666666666666667,2022.5
45,22,1,10.0,9.0,10.0,9.0,9.0,6.0,4.0,9.0,7.0,2.0,9.5,7.0,5.0,9.0,6.333333333333333,2022.5
46,22,1,10.0,8.0,10.0,7.0,7.0,8.0,6.0,10.0,9.0,2.0,9.0,7.0,7.0,10.0,8.0,2022.5
47,22,1,9.0,9.0,8.0,8.0,7.0,8.0,7.0,9.0,9.0,2.0,8.5,7.5,7.5,9.0,8.0,2022.5
48,22,1,9.0,9.0,9.0,8.0,7.0,8.0,5.0,8.0,9.0,2.0,9.0,7.0,6.5,8.0,7.0,2022.5
85,22,1,54.0,50.0,52.0,29.0,36.0,37.0,25.0,48.0,38.0,0.0,51.0,31.75,31.0,48.0,36.666666666666664,2022.0
86,22,1,11.0,9.0,11.0,9.0,8.0,6.0,5.0,11.0,8.0,0.0,10.0,7.0,5.5,11.0,7.333333333333333,2022.0
87,22,1,16.0,16.0,13.0,8.0,7.0,12.0,8.0,14.0,10.0,1.0,14.5,8.75,10.0,14.0,11.333333333333334,2022.0
88,22,1,5.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,1.0,4.5,4.0,3.5,5.0,4.0,2022.0
89,22,1,8.0,7.0,5.0,5.0,5.0,6.0,5.0,7.0,5.0,1.0,6.0,5.25,5.5,7.0,6.0,2022.0
91,22,1,12.0,11.0,12.0,7.0,10.0,5.0,7.0,9.0,8.0,2.0,11.5,7.25,6.0,9.0,7.0,2022.0
92,22,1,21.0,19.0,21.0,17.0,13.0,12.0,11.0,17.0,17.0,2.0,20.0,13.25,11.5,17.0,13.333333333333334,2022.0
93,22,1,12.0,11.0,11.0,10.0,7.0,4.0,10.0,11.0,9.0,2.0,11.0,7.75,7.0,11.0,8.333333333333334,2022.0
94,22,1,7.0,7.0,7.0,4.0,5.0,5.0,4.0,6.0,6.0,2.0,7.0,4.5,4.5,6.0,5.0,2022.0
135,21,1,62.0,53.0,56.0,23.0,38.0,43.0,31.0,54.0,36.0,0.0,54.5,33.75,37.0,54.0,42.666666666666664,2021.5
136,21,1,18.0,10.0,7.0,6.0,10.0,6.0,6.0,16.0,4.0,0.0,8.5,7.0,6.0,16.0,9.333333333333334,2021.5
138,21,1,19.0,13.0,12.0,4.0,12.0,8.0,9.0,15.0,7.0,1.0,12.5,8.25,8.5,15.0,10.666666666666666,2021.5
139,21,1,11.0,11.0,8.0,6.0,4.0,5.0,4.0,8.0,4.0,2.0,9.5,4.75,4.5,8.0,5.666666666666667,2021.5
140,21,1,6.0,6.0,6.0,3.0,4.0,2.0,4.0,5.0,5.0,2.0,6.0,3.25,3.0,5.0,3.6666666666666665,2021.5
141,21,1,8.0,8.0,8.0,6.0,4.0,8.0,7.0,8.0,8.0,2.0,8.0,6.25,7.5,8.0,7.666666666666667,2021.5
142,21,1,12.0,11.0,12.0,10.0,9.0,6.0,10.0,11.0,9.0,2.0,11.5,8.75,8.0,11.0,9.0,2021.5
175,19,1,24.0,19.0,23.0,13.0,15.0,11.0,9.0,19.0,10.0,0.0,21.0,12.0,10.0,19.0,13.0,2019.5
176,19,1,30.0,26.0,28.0,11.0,17.0,15.0,15.0,27.0,19.0,1.0,27.0,14.5,15.0,27.0,19.0,2019.5
177,19,1,11.0,10.0,8.0,5.0,8.0,4.0,4.0,9.0,6.0,1.0,9.0,5.25,4.0,9.0,5.666666666666667,2019.5
178,19,1,27.0,21.0,26.0,16.0,19.0,10.0,11.0,14.0,16.0,2.0,23.5,14.0,10.5,14.0,11.666666666666666,2019.5
179,19,1,13.0,10.0,11.0,7.0,7.0,3.0,5.0,13.0,6.0,2.0,10.5,5.5,4.0,13.0,7.0,2019.5
180,19,1,9.0,9.0,8.0,8.0,3.0,5.0,8.0,9.0,8.0,3.0,8.5,6.0,6.5,9.0,7.333333333333333,2019.5
205,19,1,29.0,28.0,27.0,13.0,22.0,20.0,14.0,27.0,21.0,0.0,27.5,17.25,17.0,27.0,20.333333333333332,2019.0
206,19,1,17.0,14.0,15.0,12.0,13.0,5.0,10.0,14.0,13.0,2.0,14.5,10.0,7.5,14.0,9.666666666666666,2019.0
207,19,1,31.0,29.0,30.0,18.0,16.0,13.0,14.0,28.0,19.0,1.0,29.5,15.25,13.5,28.0,18.333333333333332,2019.0
208,19,1,27.0,21.0,10.0,16.0,17.0,21.0,22.0,24.0,18.0,1.0,15.5,19.0,21.5,24.0,22.333333333333332,2019.0
209,19,1,20.0,16.0,19.0,16.0,16.0,15.0,10.0,20.0,16.0,2.0,17.5,14.25,12.5,20.0,15.0,2019.0
210,19,1,8.0,6.0,8.0,4.0,5.0,3.0,3.0,7.0,5.0,1.0,7.0,3.75,3.0,7.0,4.333333333333333,2019.0
211,19,1,12.0,10.0,12.0,7.0,8.0,5.0,6.0,11.0,7.0,1.0,11.0,6.5,5.5,11.0,7.333333333333333,2019.0
212,19,1,10.0,8.0,7.0,6.0,7.0,6.0,6.0,8.0,7.0,2.0,7.5,6.25,6.0,8.0,6.666666666666667,2019.0
